Solaranlage01,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal
39995.11111100000,0,1136,2.85,0,0,1055,0,1,987,84.47,83.36,59.83,49.46,49.46,22.45,20.7,22.4,21.87,21.97,23.3,21.35,20.5,23.65,15.66,45.78,50.75,30,32.47,34.45,810,55972,50,46,38,30,56306
39995.11458300000,0,1136,2.85,0,0,1055,0,1,987,84.47,83.36,59.83,49.46,49.46,22.52,20.6,22.4,22.22,21.95,23.3,21.15,20.42,23.62,15.61,45.68,50.67,29.97,32.47,34.37,810,55972,50,46,38,30,56306
39995.11805600000,0,1136,2.85,0,0,1055,0,1,987,84.47,83.36,59.83,49.46,49.46,22.5,20.55,22.37,23.47,21.9,23.3,21.32,20.55,23.73,15.66,45.6,50.67,30,32.39,34.27,810,55972,50,46,38,30,56306
39995.12152800000,0,1136,2.84,0,0,1055,0,1,987,84.47,83.36,59.83,49.46,49.46,22.42,20.47,22.35,24.17,21.8,23.25,21.3,20.5,23.62,15.56,45.52,50.49,29.97,32.39,34.19,810,55972,50,46,38,30,56306
39995.12500000000,0,1136,2.84,0,0,1055,0,1,987,84.47,83.36,59.83,49.46,49.46,22.42,20.4,22.35,24.42,21.77,23.22,21.25,20.45,23.59,15.53,45.34,50.49,29.97,32.29,34.12,810,55972,50,46,38,30,56306
39995.12847200000,0,1136,2.85,0,0,1055,0,1,987,84.47,83.36,59.83,49.38,49.38,22.35,20.32,22.32,24.37,21.7,23.12,21.2,20.3,23.43,15.44,45.26,50.31,29.97,32.29,34.12,810,55972,50,46,38,30,56306
39995.13194400000,0,1136,2.84,0,0,1055,0,1,987,84.47,83.36,59.83,49.38,49.38,22.25,20.2,22.2,24.2,21.67,23.02,20.95,20.1,23.32,15.34,45.08,50.23,29.97,32.21,34.01,810,55972,40,46,37,39,56306
39995.13541700000,0,1136,2.84,0,0,1055,0,1,987,84.47,83.36,59.83,49.38,49.38,22.2,20.12,22.1,24,21.57,22.92,20.97,20.1,23.29,15.24,45.01,50.15,29.97,32.21,33.86,810,55972,40,46,37,39,56306
39995.13888900000,0,1136,2.84,0,0,1055,0,1,987,84.47,83.36,59.83,49.38,49.38,22.15,19.95,22.05,24,21.45,22.72,20.72,19.9,23.07,15.08,44.9,50.15,29.97,32.14,33.86,810,55972,40,46,37,39,56306
39995.14236100000,0,1136,2.84,0,0,1055,0,1,987,84.47,83.36,59.94,49.28,49.28,21.82,19.72,21.9,23.72,21.27,22.52,20.62,19.7,22.83,14.89,44.75,50.05,29.97,32.14,33.76,810,55972,40,45,37,39,56306
39995.14583300000,0,1136,2.85,0,0,1055,0,1,987,84.47,83.36,59.83,49.38,49.38,21.67,19.57,21.82,23.75,21.25,22.42,20.4,19.52,22.63,14.79,44.65,49.97,29.95,32.14,33.68,810,55972,40,45,37,39,56306
39995.14930600000,0,1136,2.84,0,0,1055,0,1,987,84.47,83.36,59.94,49.28,49.28,21.65,19.35,21.8,23.7,21.15,22.3,20.3,19.4,22.44,14.61,44.57,49.9,29.97,32.03,33.6,810,55972,40,45,37,39,56306
39995.15277800000,0,1136,2.84,0,0,1055,0,1,987,84.47,83.36,59.83,49.28,49.28,21.32,19.22,21.5,23.5,21.05,22.25,20.1,19.3,22.35,14.56,44.49,49.79,29.97,31.96,33.6,810,55972,49,45,37,38,56306
39995.15625000000,0,1136,2.84,0,0,1055,0,1,987,84.47,83.36,59.94,49.28,49.28,21.4,19.25,21.52,23.52,20.95,22.25,20.1,19.37,22.44,14.61,44.31,49.72,29.97,31.96,33.6,810,55972,49,45,37,38,56306
39995.15972200000,0,1136,2.84,0,0,1055,0,1,987,84.47,83.36,59.94,49.28,49.28,21.47,19.25,21.6,23.57,20.9,22.25,20.22,19.42,22.55,14.64,44.23,49.64,29.95,31.88,33.42,810,55972,49,45,37,38,56306
39995.16319400000,0,1136,2.84,0,0,1055,0,1,987,84.47,83.36,59.94,49.28,49.28,21.17,19.12,21.42,23.32,20.72,22.07,20.1,19.32,22.55,14.59,44.13,49.54,29.95,31.88,33.42,810,55972,49,45,37,38,56306
39995.16666700000,0,1136,2.84,0,0,1055,0,1,987,84.47,83.36,59.94,49.2,49.2,21.05,19.07,21.25,23.1,20.7,22,20.05,19.22,22.33,14.47,43.98,49.46,29.95,31.88,33.34,810,55972,49,45,37,38,56306
39995.17013900000,0,1136,2.84,0,0,1055,0,1,987,84.47,83.36,59.94,49.2,49.2,20.95,18.95,21.15,23.17,20.6,21.9,20.1,19.15,22.22,14.4,43.87,49.38,29.95,31.78,33.24,810,55972,49,45,37,38,56306
39995.17361100000,0,1136,2.84,0,0,1055,0,1,987,84.47,83.36,59.94,49.2,49.2,20.9,18.9,21.17,23.1,20.42,21.82,19.95,19.07,22.11,14.32,43.8,49.38,29.95,31.78,33.16,810,55972,49,44,36,38,56306
